Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Tennessee,US,2020-05-19 02:32:23,35.7478,-86.6923,18011,301,9886,7824.0,47,263.73614144258147,337428,1489,1.6712009327633113,84000047,USA,4940.978220792149,8.267170062739437
Texas,US,2020-05-19 02:32:23,31.0545,-97.5635,49177,1350,28371,19456.0,48,169.59995111029735,723013,,2.7451857575695957,84000048,USA,2493.502439191277,
Utah,US,2020-05-19 02:32:23,40.15,-111.8624,7384,80,4183,3121.0,49,230.32117077017227,174022,595,1.0834236186348862,84000049,USA,5428.081091517731,8.057963163596966
Vermont,US,2020-05-19 02:32:23,44.0459,-72.7107,940,54,815,71.0,50,150.64368121873943,23825,,5.74468085106383,84000050,USA,3818.1762819536884,
Virgin Islands,US,2020-05-19 02:32:23,18.3358,-64.8963,69,6,61,2.0,78,64.32486855352948,1347,,8.695652173913043,850,VIR,1255.7333035015101,
Virginia,US,2020-05-19 02:32:23,37.7693,-78.17,31140,1015,4107,26018.0,51,364.82843046802424,196226,5609,3.2594733461785483,84000051,USA,2298.93460491389,18.012202954399488
Washington,US,2020-05-19 02:32:23,47.4009,-121.4905,18611,1002,,17609.0,53,244.40264623547566,285243,,5.383912739777551,84000053,USA,3745.856967392713,
West Virginia,US,2020-05-19 02:32:23,38.4912,-80.9545,1502,68,919,515.0,54,83.81008923933138,76035,,4.527296937416778,84000054,USA,4242.6765215130235,
Wisconsin,US,2020-05-19 02:32:23,44.2685,-89.6165,12687,459,6786,5442.0,55,217.89856269731868,157189,2068,3.6178765665641994,84000055,USA,2699.712869222734,16.300149759596437
Wyoming,US,2020-05-19 02:32:23,42.756,-107.3025,766,10,498,258.0,56,132.35215348703,17085,73,1.3054830287206267,84000056,USA,2952.0059299293835,9.530026109660575
Alabama,US,2020-05-20 02:32:25,32.3182,-86.9023,12376,504,,11872.0,1,252.40736378496834,157566,1453,4.072398190045249,84000001,USA,3213.543849559011,11.740465416936004
Alaska,US,2020-05-20 02:32:25,61.3707,-152.4044,400,10,348,42.0,2,54.678796246300635,36380,,2.5,84000002,USA,4973.036518601043,
American Samoa,US,2020-05-20 02:32:25,-14.270999999999999,-170.132,0,0,,0.0,60,0.0,124,,,16,ASM,222.85724555633436,
Arizona,US,2020-05-20 02:32:25,33.7298,-111.4312,14576,705,3693,10178.0,4,200.25507242553874,161571,1746,4.836717892425906,84000004,USA,2219.7730726445334,11.978594950603732
Arkansas,US,2020-05-20 02:32:25,34.9697,-92.3731,4923,102,3739,1082.0,5,163.13186674813872,93701,535,2.071907373552712,84000005,USA,3104.9398834384206,10.867357302457851
California,US,2020-05-20 02:32:25,36.1162,-119.6816,83752,3403,,80349.0,6,211.9647887186707,1339316,,4.063186550768937,84000006,USA,3389.624522011834,
Colorado,US,2020-05-20 02:32:25,39.0598,-105.3111,22482,1257,3431,17794.0,8,390.39817070968354,131333,3899,5.59113957832933,84000008,USA,2280.5872677615366,17.342763099368383
Connecticut,US,2020-05-20 02:32:25,41.5978,-72.7554,38430,3472,6264,28694.0,9,1077.8935889312697,185520,10946,9.034608378870674,84000009,USA,5203.508160773593,28.482956023939632
Delaware,US,2020-05-20 02:32:25,39.3185,-75.5071,8037,304,3760,3973.0,10,825.3539872083995,44132,,3.7825059101654848,84000010,USA,4532.1042881026615,
Diamond Princess,US,2020-05-20 02:32:25,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
District of Columbia,US,2020-05-20 02:32:25,38.8974,-77.0268,7434,400,1040,5994.0,11,1053.3489951810063,39374,,5.380683346785042,84000011,USA,5579.03730646448,
Florida,US,2020-05-20 02:32:25,27.7663,-81.6868,46944,2052,,44892.0,12,218.57051327148665,715855,8744,4.371165644171779,84000012,USA,3333.0094320458434,18.626448534423993
Georgia,US,2020-05-20 02:32:25,33.0406,-83.6431,38855,1675,,37180.0,13,365.95509098582585,378156,7027,4.310899498134089,84000013,USA,3561.655215206176,18.085188521425813
Grand Princess,US,2020-05-20 02:32:25,,,103,3,,100.0,99999,,,,2.912621359223301,84099999,USA,,
Guam,US,2020-05-20 02:32:25,13.4443,144.7937,154,5,126,23.0,66,93.77150198807762,4827,,3.2467532467532467,316,GUM,2939.1885720548744,
Hawaii,US,2020-05-20 02:32:25,21.0943,-157.4983,641,17,574,50.0,15,45.27245400714189,45023,82,2.65210608424337,84000015,USA,3179.8778420648196,12.792511700468019
Idaho,US,2020-05-20 02:32:25,44.2405,-114.4788,2455,74,1649,732.0,16,137.3760887264873,38069,213,3.0142566191446027,84000016,USA,2130.2526768752114,8.676171079429736
Illinois,US,2020-05-20 02:32:25,40.3495,-88.9861,98030,4379,,93651.0,17,773.6062559595815,621684,,4.466999897990411,84000017,USA,4906.035209935494,
Indiana,US,2020-05-20 02:32:25,39.8494,-86.2583,28705,1824,,26881.0,18,426.3824453720237,189330,4389,6.354293677059745,84000018,USA,2812.297104416835,15.290019160425013
Iowa,US,2020-05-20 02:32:25,42.0115,-93.2105,15296,367,8130,6799.0,19,484.80699318874065,107648,,2.3993200836820083,84000019,USA,3411.9052826086267,
Kansas,US,2020-05-20 02:32:25,38.5266,-96.7265,8353,199,465,7689.0,20,286.7181498458457,66990,740,2.3823775888902192,84000020,USA,2299.4431770828687,8.85909254160182
Kentucky,US,2020-05-20 02:32:25,37.6681,-84.6701,8069,366,2826,4877.0,21,180.6085628916888,153986,1980,4.535878051803198,84000021,USA,3446.671231309901,24.538356673689428
Louisiana,US,2020-05-20 02:32:25,31.1695,-91.8678,35038,2581,26249,6208.0,22,753.7008523070715,278073,,7.366288030138707,84000022,USA,5981.615877150074,
